time,current,voltage
0.003001689910888672,9.80908925027372e-47,38.3
0.10671114921569824,2.5223372357846706e-46,38.3
0.20899176597595215,2.382207389352189e-46,38.3
0.31247544288635254,2.5223372357846706e-46,38.3
0.4160630702972412,2.2420775429197074e-46,38.3
0.5193905830383301,2.6624670822171525e-46,38.3
0.6228432655334473,2.5223372357846706e-46,38.3
0.7252318859100342,2.382207389352189e-46,38.3
0.8280436992645264,2.8025969286496343e-46,38.3
0.9304680824279785,2.6624670822171525e-46,38.3
1.033940076828003,1.5414283107572988e-46,38.3
1.138566493988037,2.8025969286496343e-46,38.3
1.241938829421997,3.363116314379561e-46,38.3
1.3446159362792969,2.5223372357846706e-46,38.3
1.4474148750305176,1.5414283107572988e-46,38.3
1.5506048202514648,2.382207389352189e-46,38.3
1.6537423133850098,3.0828566215145976e-46,38.3
1.7554981708526611,2.6624670822171525e-46,38.3
1.857234001159668,2.1019476964872255e-46,38.3
1.9604747295379639,2.1019476964872255e-46,38.3
2.0641584396362305,2.6624670822171525e-46,38.3
2.166987180709839,2.5223372357846706e-46,38.3
2.269474506378174,2.9427267750821157e-46,38.3
2.372554063796997,2.382207389352189e-46,38.3
2.47589111328125,2.8025969286496343e-46,38.3
2.578735113143921,2.2420775429197074e-46,38.3
2.6825215816497803,2.5223372357846706e-46,38.3
2.7854037284851074,1.6815581571897804e-46,38.3
2.8885316848754883,2.5223372357846706e-46,38.3
2.9906797409057617,2.5223372357846706e-46,38.3
3.0937087535858154,2.2420775429197074e-46,38.3
3.19596529006958,2.5223372357846706e-46,38.3
3.2999660968780518,2.6624670822171525e-46,38.3
3.402139186859131,3.363116314379561e-46,38.3
3.5052924156188965,2.382207389352189e-46,38.3
3.6080164909362793,2.382207389352189e-46,38.3
3.7112457752227783,2.2420775429197074e-46,38.3
3.813519239425659,2.6624670822171525e-46,38.3
3.9160540103912354,2.6624670822171525e-46,38.3
4.019431114196777,2.8025969286496343e-46,38.3
4.122531890869141,2.2420775429197074e-46,38.3
4.2259581089019775,2.2420775429197074e-46,38.3
4.328293323516846,2.5223372357846706e-46,38.3
4.43267035484314,3.0828566215145976e-46,38.3
4.535803556442261,3.0828566215145976e-46,38.3
4.6388537883758545,1.961817850054744e-46,38.3
4.742523670196533,2.5223372357846706e-46,38.3
4.8450610637664795,2.6624670822171525e-46,38.3
4.948368549346924,2.9427267750821157e-46,38.3
5.050957679748535,2.6624670822171525e-46,38.3
5.151833772659302,2.5223372357846706e-46,38.3
